timestamp,quantity,price,fee,amount,side
2018-07-02 04:50:13,0.08,7027000,0,562160,1
2018-07-02 04:50:14,0.5949,7027000,0,4180362,1
2018-07-02 04:50:17,0.08,7027000,0,562160,1
2018-07-02 04:50:22,0.3274,7020000,0,2298348,1
2018-07-02 04:50:26,0.28,7020000,0,1965600,1
2018-07-02 04:50:30,0.0406,7019000,0,284971,1
2018-07-02 04:50:30,0.08,7019000,0,561520,1
2018-07-02 04:50:30,0.0142,7019000,0,99670,1
2018-07-02 04:52:22,0.406,7023000,0,2851338,1
2018-07-02 04:52:23,0.0381,7023000,0,267576,1
2018-07-02 04:53:36,0.0291,7024000,0,204398,1
2018-07-02 04:56:23,1.5561,7020000,0,10923822,1
2018-07-02 04:57:19,0.0004,7023000,0,2809,1
2018-07-02 05:03:06,0.08,7023000,0,-561840,0
2018-07-02 05:12:16,0.015,7023000,0,105345,1
2018-07-02 05:12:16,0.015,7023000,0,105345,1
2018-07-02 05:12:16,0.0232,7023000,0,162934,1
2018-07-02 05:17:51,0.021,7022000,0,147462,1
2018-07-02 05:17:52,0.1257,7022000,0,882665,1
2018-07-02 05:30:30,0.0139,7080000,0,-98412,0
2018-07-02 05:30:38,0.0139,7093000,0,98593,1
2018-07-02 05:38:03,0.016,7076000,0,-113216,0
2018-07-02 05:38:03,0.015,7076000,0,-106140,0
2018-07-02 05:39:36,0.0005,7096000,0,-3548,0
2018-07-02 05:40:07,0.0003,7099000,0,2130,1
2018-07-02 05:41:08,0.0312,7088000,0,221146,1
2018-07-02 05:45:27,0.0438,7077000,0,-309973,0
2018-07-02 05:45:37,0.2839,7084000,0,-2011148,0
2018-07-02 05:47:19,0.3277,7073000,0,2317822,1
2018-07-02 06:01:49,0.021,7065000,0,-148365,0
2018-07-02 06:02:23,0.014,7066000,0,98924,1
2018-07-02 06:02:23,0.007,7066000,0,49462,1
2018-07-02 06:07:32,0.0743,7048000,0,-523666,0
2018-07-02 06:07:48,0.282,7058000,0,-1990356,0
2018-07-02 06:08:46,0.2884,7064000,0,-2037258,0
2018-07-02 06:09:43,0.0001,7063000,0,706,1
2018-07-02 06:11:03,0.0482,7063000,0,-340437,0
2018-07-02 06:16:33,0.08,7068000,0,-565440,0
